ResourceID,Geo,Period,Label1,Label2,Label3,Value,Unit,Measure,Multiplier
CPWEE1,,2011-01-02,30 to 59,,,58,Number,Registered deaths,0
CPWEE1,,2011-01-02,60 to 79,,,202,Number,Registered deaths,0
CPWEE1,,2011-01-02,80 and over,,,253,Number,Registered deaths,0
CPWEE1,,2011-01-02,Total,,,538,Number,Registered deaths,0
CPWEE1,,2011-01-02,Under 30,,,25,Number,Registered deaths,0
CPWEE1,,2011-01-09,30 to 59,,,70,Number,Registered deaths,0
CPWEE1,,2011-01-09,60 to 79,,,199,Number,Registered deaths,0
CPWEE1,,2011-01-09,80 and over,,,278,Number,Registered deaths,0
CPWEE1,,2011-01-09,Total,,,564,Number,Registered deaths,0
CPWEE1,,2011-01-09,Under 30,,,17,Number,Registered deaths,0
CPWEE1,,2011-01-16,30 to 59,,,73,Number,Registered deaths,0
CPWEE1,,2011-01-16,60 to 79,,,193,Number,Registered deaths,0
CPWEE1,,2011-01-16,80 and over,,,257,Number,Registered deaths,0
CPWEE1,,2011-01-16,Total,,,543,Number,Registered deaths,0
CPWEE1,,2011-01-16,Under 30,,,20,Number,Registered deaths,0
CPWEE1,,2011-01-23,30 to 59,,,67,Number,Registered deaths,0
CPWEE1,,2011-01-23,60 to 79,,,170,Number,Registered deaths,0
CPWEE1,,2011-01-23,80 and over,,,256,Number,Registered deaths,0
CPWEE1,,2011-01-23,Total,,,507,Number,Registered deaths,0
CPWEE1,,2011-01-23,Under 30,,,14,Number,Registered deaths,0
CPWEE1,,2011-01-30,30 to 59,,,72,Number,Registered deaths,0
CPWEE1,,2011-01-30,60 to 79,,,171,Number,Registered deaths,0
CPWEE1,,2011-01-30,80 and over,,,260,Number,Registered deaths,0
CPWEE1,,2011-01-30,Total,,,516,Number,Registered deaths,0
CPWEE1,,2011-01-30,Under 30,,,13,Number,Registered deaths,0
CPWEE1,,2011-02-06,30 to 59,,,81,Number,Registered deaths,0
CPWEE1,,2011-02-06,60 to 79,,,198,Number,Registered deaths,0
CPWEE1,,2011-02-06,80 and over,,,279,Number,Registered deaths,0
CPWEE1,,2011-02-06,Total,,,585,Number,Registered deaths,0
CPWEE1,,2011-02-06,Under 30,,,27,Number,Registered deaths,0
CPWEE1,,2011-02-13,30 to 59,,,62,Number,Registered deaths,0
CPWEE1,,2011-02-13,60 to 79,,,198,Number,Registered deaths,0
CPWEE1,,2011-02-13,80 and over,,,280,Number,Registered deaths,0
CPWEE1,,2011-02-13,Total,,,560,Number,Registered deaths,0
CPWEE1,,2011-02-13,Under 30,,,20,Number,Registered deaths,0
CPWEE1,,2011-02-20,30 to 59,,,65,Number,Registered deaths,0
CPWEE1,,2011-02-20,60 to 79,,,188,Number,Registered deaths,0
CPWEE1,,2011-02-20,80 and over,,,264,Number,Registered deaths,0
CPWEE1,,2011-02-20,Total,,,533,Number,Registered deaths,0
CPWEE1,,2011-02-20,Under 30,,,16,Number,Registered deaths,0
CPWEE1,,2011-02-27,30 to 59,,,147,Number,Registered deaths,0
CPWEE1,,2011-02-27,60 to 79,,,202,Number,Registered deaths,0
CPWEE1,,2011-02-27,80 and over,,,254,Number,Registered deaths,0
CPWEE1,,2011-02-27,Total,,,677,Number,Registered deaths,0
CPWEE1,,2011-02-27,Under 30,,,74,Number,Registered deaths,0
CPWEE1,,2011-03-06,30 to 59,,,63,Number,Registered deaths,0
CPWEE1,,2011-03-06,60 to 79,,,174,Number,Registered deaths,0
CPWEE1,,2011-03-06,80 and over,,,260,Number,Registered deaths,0
CPWEE1,,2011-03-06,Total,,,513,Number,Registered deaths,0
CPWEE1,,2011-03-06,Under 30,,,16,Number,Registered deaths,0
CPWEE1,,2011-03-13,30 to 59,,,65,Number,Registered deaths,0
CPWEE1,,2011-03-13,60 to 79,,,182,Number,Registered deaths,0
CPWEE1,,2011-03-13,80 and over,,,257,Number,Registered deaths,0
CPWEE1,,2011-03-13,Total,,,523,Number,Registered deaths,0
CPWEE1,,2011-03-13,Under 30,,,19,Number,Registered deaths,0
CPWEE1,,2011-03-20,30 to 59,,,66,Number,Registered deaths,0
CPWEE1,,2011-03-20,60 to 79,,,171,Number,Registered deaths,0
CPWEE1,,2011-03-20,80 and over,,,300,Number,Registered deaths,0
CPWEE1,,2011-03-20,Total,,,553,Number,Registered deaths,0
CPWEE1,,2011-03-20,Under 30,,,16,Number,Registered deaths,0
CPWEE1,,2011-03-27,30 to 59,,,60,Number,Registered deaths,0
CPWEE1,,2011-03-27,60 to 79,,,190,Number,Registered deaths,0
CPWEE1,,2011-03-27,80 and over,,,257,Number,Registered deaths,0
CPWEE1,,2011-03-27,Total,,,523,Number,Registered deaths,0
CPWEE1,,2011-03-27,Under 30,,,16,Number,Registered deaths,0
CPWEE1,,2011-04-03,30 to 59,,,63,Number,Registered deaths,0
CPWEE1,,2011-04-03,60 to 79,,,180,Number,Registered deaths,0
CPWEE1,,2011-04-03,80 and over,,,298,Number,Registered deaths,0
CPWEE1,,2011-04-03,Total,,,565,Number,Registered deaths,0
CPWEE1,,2011-04-03,Under 30,,,24,Number,Registered deaths,0
CPWEE1,,2011-04-10,30 to 59,,,68,Number,Registered deaths,0
CPWEE1,,2011-04-10,60 to 79,,,191,Number,Registered deaths,0
CPWEE1,,2011-04-10,80 and over,,,300,Number,Registered deaths,0
CPWEE1,,2011-04-10,Total,,,572,Number,Registered deaths,0
CPWEE1,,2011-04-10,Under 30,,,13,Number,Registered deaths,0
CPWEE1,,2011-04-17,30 to 59,,,59,Number,Registered deaths,0
CPWEE1,,2011-04-17,60 to 79,,,164,Number,Registered deaths,0
CPWEE1,,2011-04-17,80 and over,,,274,Number,Registered deaths,0
